DateTime,AddedIPs,RemovedIPs
1538494827,333,424
1538507425,438,332
1538517625,385,327
1538529025,332,311
1538541023,355,359
1538552427,391,348
1538563828,419,425
1538577626,393,415
1538584826,367,309
1538592626,295,343
1538607026,386,419
1538614225,301,351
1538628625,405,480
1538635824,367,350
1538643627,322,372
1538658027,474,518
1538671826,481,541
1538679026,385,407
1538693426,971,503
1538703025,2034,382
1538715625,682,783
1538725826,644,602
1538736627,582,532
1538747426,615,483
1538756427,529,381
1538766626,537,512
1538775626,387,489
1538785225,1240,428
1538800226,2400,959
1538814628,885,1499
1538827227,850,644
1538841627,1176,1134
1538857226,881,1399
1538886625,832,1737
1538900426,741,827
1538914828,793,861
1538931026,834,1168
1538944226,867,788
1538956825,738,861
1538968225,633,707
1538981425,793,961
1538995227,679,889
1539007226,645,731
1539019825,585,727
1539032426,618,666
1539043825,656,682
1539057023,610,724
1539069028,760,720
1539080428,615,631
1539090027,673,489
1539100226,600,523
1539110426,583,601
1539121226,773,594
1539131426,509,445
1539140425,421,427
1539150625,443,455
1539160828,471,470
1539171628,465,534
1539181827,568,454
1539190826,470,398
1539200426,529,540
1539211825,560,482
1539222625,494,523
1539234625,512,655
1539247827,620,817
1539259228,704,699
1539271227,666,695
1539283827,598,720
1539294626,577,516
1539306026,515,541
1539317424,468,583
1539329427,630,645
1539340827,551,684
1539352827,550,666
1539363626,516,587
1539374426,528,551
1539384624,592,514
1539395424,634,585
1539405624,479,573
1539415827,568,460
1539425426,438,511
1539435025,470,456
1539444625,447,393
1539453626,417,401
1539463225,456,509
1539472825,529,464
1539483624,510,524
1539494424,441,600
1539505227,447,489
1539516027,717,596
1539527427,590,648
1539536426,583,467
1539546025,657,480
1539556826,531,576
1539567626,527,480
1539579625,515,596
1539589827,433,490
1539600627,511,580
1539612026,579,728
1539622227,511,515
1539632426,585,463
1539641426,440,446
1539649825,448,462
1539660026,512,602
1539670225,584,572
1539681628,601,670
1539691826,529,598
1539703226,515,541
1539714026,551,508
1539723025,468,338
1539732024,451,370
1539741024,455,446
1539750624,454,423
1539759626,427,462
1539768627,453,418
1539778226,419,527
1539788426,519,469
1539799825,595,737
1539811825,564,686
1539820824,575,480
1539831025,431,451
1539841825,464,586
1539852626,569,551
1539863426,574,532
1539873625,494,581
1539884425,528,521
1539895225,538,514
1539905425,542,547
1539914424,384,389
1539924024,483,454
1539935426,532,669
1539945026,469,490
1539954025,494,524
1539964225,479,519
1539973825,460,469
1539982225,409,400
1539991824,461,467
1540001424,402,445
1540011623,473,499
1540020026,476,379
1540029627,492,478
1540038027,423,426
1540047025,424,434
1540056026,435,428
1540065025,455,461
1540073426,524,388
1540082425,597,368
1540090825,512,439
1540099224,407,317
1540108826,373,415
1540116626,329,322
1540123826,282,287
1540134025,380,478
1540143026,422,443
1540152025,423,439
1540161025,387,466
1540169424,385,432
1540178423,433,379
1540187423,559,455
1540196427,434,550
1540206026,542,587
1540216826,487,553
1540225825,564,615
1540234826,520,491
1540245025,442,538
1540254024,430,453
1540263625,410,459
1540273224,410,524
1540283426,497,539
1540292426,470,478
1540301425,537,489
1540309825,422,412
1540318224,464,434
1540327224,493,409
1540337424,443,487
1540345824,439,456
1540354823,437,472
1540364021,515,479
1540372227,422,443
1540381226,537,449
1540390226,407,401
1540399225,394,387
1540406425,325,400
1540415425,428,437
1540423225,382,409
1540432224,445,476
1540442424,431,526
1540450826,509,402
1540460427,509,595
1540470026,561,521
1540479626,452,511
1540487425,449,383
1540496425,498,521
1540506025,468,466
1540514425,412,458
1540523424,442,434
1540532425,389,377
1540539627,379,352
1540547427,404,444
1540554625,404,364
1540562427,409,337
1540576826,495,480
1540591225,521,483
1540605625,477,463
1540612824,344,400
1540621223,354,423
1540629026,449,429
1540643426,577,516
1540651826,349,398
1540659625,384,378
1540674025,534,443
1540688423,561,448
1540695624,292,325
1540703424,314,371
1540710627,354,354
1540719026,459,386
1540726827,347,446
1540735826,481,496
1540744825,448,461
1540754426,468,553
1540762825,479,417
1540776024,596,514
1540785023,414,469
1540794623,349,425
1540802426,389,366
1540810825,464,414
1540819225,343,419
1540827625,402,463
1540836624,527,429
1540845024,369,360
1540858823,623,490
1540866624,376,402
1540895426,692,668
1540910424,511,602
1540924225,498,494
1540937423,496,405
1540944624,367,248
1540953023,268,372
1540966822,468,527
1540974626,363,371
1540982426,371,418
1540990826,422,423
1540998625,438,486
1541006427,472,388
1541020225,558,546
1541028025,448,357
1541035224,410,334
1541049623,414,462
1541056825,372,365
1541065226,318,422
1541079025,483,509
1541092824,554,444
1541107224,452,500
1541121624,535,475
1541130023,295,422
1541143224,506,478
1541157626,582,536
1541164825,376,406
1541179224,494,486
1541193625,466,407
1541208023,392,414
1541222422,411,422
1541236225,466,474
1541244025,366,375
1541251224,375,410
1541265624,515,478
1541280024,527,457
1541294423,511,488
1541308822,398,441
1541316023,357,319
1541324425,352,410
1541338225,442,480
1541352625,478,443
1541365825,500,427
1541373624,341,361
1541380824,358,316
1541395223,425,541
1541402422,354,346
1541416825,517,529
1541425225,381,525
1541433625,417,434
1541446824,501,447
1541461224,460,363
1541473822,381,377
1541488223,443,430
1541502026,455,471
1541515225,451,509
1541522425,410,329
1541530225,1460,322
1541538624,460,457
1541547025,424,441
1541553624,425,358
1541562024,301,467
1541570424,395,541
1541578225,338,402
1541586625,419,526
1541594425,296,508
1541603424,382,545
1541617224,578,544
1541631024,473,461
1541637623,1633,185
1541650823,4790,432
